0,European Union - 27 countries (from 2020),European Union - 28 countries (2013-2020),Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Liechtenstein,Norway,Switzerland,United Kingdom,TÃ¼rkiye
1990,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1991,95.9,96.7,101.8,77.5,89.5,112.4,91.9,92.6,101.1,99.5,103.5,105.0,68.1,97.5,110.7,83.8,104.6,102.8,93.6,94.3,103.5,98.5,98.9,103.1,80.0,87.9,83.9,74.4,101.5,98.4,96.4,89.8,97.6,101.0,104.0
1992,93.3,94.1,101.6,71.6,86.6,106.1,87.6,67.7,100.5,100.7,107.7,103.4,60.2,97.6,117.8,45.1,59.7,98.3,82.0,98.9,104.1,96.3,100.8,102.4,72.6,87.0,74.1,81.8,101.6,97.5,101.2,87.3,99.1,98.6,107.7
1993,91.6,92.3,100.8,70.9,82.4,107.3,87.0,50.0,102.4,100.0,103.5,99.0,59.8,98.8,120.3,21.1,43.0,98.7,80.4,120.2,104.6,96.4,99.0,98.0,67.5,89.1,69.0,85.5,114.0,98.0,102.8,88.4,94.3,96.3,112.8
1994,91.3,91.8,104.2,65.8,78.5,111.8,86.1,52.8,104.5,103.3,111.0,98.2,55.6,95.2,125.1,-14.0,41.0,94.7,78.9,114.4,105.1,97.0,97.9,98.4,66.5,90.7,65.8,106.5,115.3,97.6,105.4,97.9,95.1,95.0,108.1
1995,92.2,92.5,105.7,67.7,77.8,108.2,86.3,46.7,108.6,105.2,116.7,98.7,56.2,99.1,125.1,-15.8,41.7,76.5,77.8,107.9,105.5,100.2,96.0,107.0,69.9,95.4,67.4,101.2,105.9,98.7,101.2,88.5,95.7,94.4,116.7
1996,93.6,94.1,108.4,68.7,79.5,123.9,87.5,48.3,111.4,108.6,113.7,100.9,59.3,97.8,130.3,-16.4,57.0,77.0,84.5,112.1,110.3,109.0,95.3,97.5,71.4,95.6,67.3,99.4,111.4,99.4,98.6,97.9,94.3,96.9,128.3
1997,92.2,92.5,103.1,64.4,77.7,112.6,84.9,47.3,113.1,113.6,119.6,99.5,67.0,100.9,132.0,-7.7,53.1,72.4,82.3,113.2,107.1,96.0,93.0,101.4,68.0,97.9,67.2,105.3,94.9,100.8,108.9,101.3,95.4,94.1,132.8
1998,91.2,91.6,106.6,59.7,74.7,107.5,83.0,41.2,117.0,119.3,123.2,102.0,68.2,103.8,139.0,-4.5,37.6,67.8,80.4,111.4,107.5,97.8,84.9,112.2,59.3,94.2,64.5,101.1,93.7,102.3,110.2,96.1,100.4,94.1,133.3
1999,89.4,89.6,103.0,51.1,69.4,104.8,80.2,39.3,119.6,118.9,132.7,100.6,70.1,103.2,142.2,16.5,32.6,71.5,83.2,114.7,101.8,92.0,82.9,123.9,51.4,89.5,63.6,98.8,86.6,104.2,108.4,95.1,101.4,90.8,130.8
2000,90.2,90.4,104.1,48.6,74.5,99.0,81.7,35.9,126.3,122.4,138.4,102.8,74.4,104.5,151.2,-11.5,23.6,75.5,81.1,111.6,101.0,97.0,80.9,128.0,48.5,87.3,60.7,95.8,78.9,104.8,115.6,89.5,114.5,91.1,145.3
2001,90.6,90.7,102.9,55.7,74.6,100.4,82.3,36.7,132.3,122.8,137.2,101.5,74.1,102.9,150.3,-10.6,30.6,79.8,81.3,115.1,101.2,98.5,82.3,122.0,49.7,96.0,65.4,102.2,78.6,103.6,105.4,87.6,105.6,91.3,131.6
2002,90.7,90.4,102.0,52.2,72.8,100.6,83.2,35.9,128.8,122.5,144.6,98.8,77.0,103.0,152.1,1.7,33.7,86.5,80.1,117.0,100.4,108.5,78.2,130.1,51.3,90.0,62.5,104.2,81.7,104.2,108.4,81.9,99.1,88.5,131.1
2003,93.0,92.5,102.5,58.9,74.8,106.6,82.7,35.8,129.9,127.0,148.1,98.8,85.6,108.4,159.8,6.1,35.7,90.5,80.6,127.1,100.7,130.4,80.9,140.3,53.7,90.4,63.5,115.8,92.0,104.1,114.5,79.5,100.4,89.4,141.6
2004,92.6,92.1,103.2,57.0,75.6,99.1,81.2,40.9,126.4,127.8,154.7,98.2,84.6,108.3,162.3,32.8,38.7,101.5,80.6,122.1,101.6,123.9,79.6,129.3,53.0,91.6,64.6,107.9,108.3,105.2,115.7,81.5,101.1,89.2,148.2
2005,92.2,91.7,101.0,56.3,74.4,93.7,79.2,48.5,130.8,130.7,160.8,98.3,85.7,108.4,162.9,38.3,43.2,103.9,77.7,116.5,99.2,123.8,79.8,148.4,51.8,93.2,70.2,86.4,101.6,104.4,116.0,85.6,102.0,88.5,161.6
2006,91.8,91.2,99.2,61.3,75.8,103.5,79.2,43.0,130.7,127.1,157.6,96.2,87.9,106.3,167.5,36.4,44.9,102.6,78.8,118.3,97.0,128.8,84.5,122.7,52.7,94.9,65.4,96.7,74.9,110.0,119.6,81.3,103.4,87.7,173.9
2007,92.2,91.3,97.1,65.0,77.0,98.1,77.6,52.1,127.8,131.6,163.1,94.6,96.9,109.8,175.2,42.9,45.6,99.6,76.6,122.2,96.3,124.6,86.1,113.0,53.8,93.8,63.3,109.6,89.2,111.7,111.1,85.2,102.4,86.1,194.8
2008,89.2,88.4,97.3,65.7,73.7,91.8,76.7,47.2,125.9,126.9,150.1,93.7,92.8,103.7,176.5,37.2,41.9,98.7,72.4,120.8,96.1,125.6,84.7,106.6,51.8,100.7,65.8,90.9,67.2,114.3,120.5,78.4,103.1,83.4,196.6
2009,82.2,81.3,88.5,54.4,68.8,87.0,70.9,34.7,114.8,119.7,135.3,91.1,83.5,92.2,171.5,53.4,29.3,94.2,67.1,113.6,93.3,117.5,80.7,101.4,43.9,85.8,59.3,61.5,54.1,111.1,113.1,64.2,98.2,76.3,198.9
2010,84.4,83.4,94.2,58.5,70.6,86.1,73.8,44.3,116.9,113.7,129.1,91.8,82.3,93.2,166.9,74.5,24.5,101.1,67.6,116.5,98.4,122.6,84.9,102.4,42.7,87.9,61.8,94.7,65.8,110.3,106.1,78.3,102.1,78.0,201.1
2011,82.1,80.7,87.3,69.2,69.6,79.1,71.7,44.3,108.4,110.9,129.4,87.3,86.2,92.4,161.5,65.8,25.6,98.3,66.1,116.6,92.4,119.0,83.5,98.2,45.6,88.1,59.7,81.5,54.3,108.8,102.2,73.1,98.2,72.6,217.5
2012,80.4,79.5,85.1,63.7,67.4,72.7,71.5,44.9,108.2,107.5,127.2,87.0,81.1,90.4,152.4,54.7,26.8,95.0,61.6,123.0,90.4,115.8,81.8,97.3,43.6,84.4,54.4,67.5,44.9,108.9,106.3,80.8,98.6,74.5,231.5
2013,78.5,77.7,84.6,60.1,65.0,74.4,73.1,53.6,109.4,99.7,117.4,86.5,73.7,80.6,139.2,63.3,25.4,89.7,59.3,111.8,90.5,117.8,80.3,96.3,38.3,90.4,52.8,79.0,46.4,109.3,105.8,80.4,101.1,72.8,226.0
2014,76.0,74.8,80.9,62.6,63.9,70.3,70.0,52.7,108.4,98.2,117.6,81.8,71.3,76.4,145.4,90.1,27.5,87.5,58.6,112.6,87.2,112.8,79.2,93.1,36.7,121.1,52.8,67.5,41.7,109.8,92.2,90.6,97.1,67.9,237.9
2015,77.3,75.6,84.0,67.4,64.6,65.7,70.4,43.3,114.0,91.1,121.3,83.4,74.3,78.4,145.8,81.3,29.7,85.4,61.2,88.9,90.6,116.6,80.7,101.5,37.1,123.1,53.2,65.1,49.3,111.0,89.1,103.6,93.1,65.9,235.9
2016,77.6,75.4,83.0,62.7,65.8,69.8,70.7,47.9,116.5,88.1,117.5,85.3,75.5,78.7,161.7,68.2,31.6,84.0,63.3,79.9,90.9,118.6,81.5,105.7,35.6,130.2,53.8,71.9,48.0,112.2,84.0,102.0,94.2,62.9,252.5
2017,79.5,76.8,83.1,66.8,67.3,66.9,69.7,53.6,119.0,92.3,123.0,87.6,81.2,81.6,160.8,58.4,33.6,87.9,65.4,88.0,89.6,120.9,84.6,138.8,38.2,131.7,55.7,69.7,58.4,114.4,87.1,97.9,93.3,61.8,267.2
2018,77.6,75.1,83.8,62.9,69.3,69.2,67.2,50.9,117.6,88.8,121.1,84.6,76.1,78.0,159.3,80.6,33.2,92.4,66.3,90.1,87.5,115.9,84.6,105.6,39.6,131.1,57.0,87.1,56.5,115.8,86.6,96.4,92.9,60.9,268.5
2019,74.6,72.3,83.1,61.9,69.8,63.3,63.6,39.1,113.7,83.4,114.3,83.5,76.6,75,159.8,66.5,36.1,92.4,65.6,95,84.8,119,83.7,98.3,38.6,85.9,52.3,71.1,46.3,112.2,:,87.5,90.4,59,266.3
2020,66.7,:,75.2,49.3,66.4,57.5,57.1,34.8,106.8,69.6,94.9,73.2,71.8,67.7,147.6,81.6,35,78.1,61.1,83.2,75.6,109.1,79.9,85.5,34.6,78,44.7,53.4,20.6,105.3,:,71,79.6,51.1,287.4
